StockCode,Description,Orders,Units,Revenue,AvgPrice
21418,STARFISH SOAP DISH,66,194,533.8399999999999,3.4825373134328355
21419,CONCH SHELL,19,1259,577.6899999999999,4.353157894736842
21420,OYSTER TRINKET BOX,31,120,332.16,3.613125
21421,PORCELAIN ROSE LARGE,105,1807,2163.23,1.5633636363636363
21422,PORCELAIN ROSE SMALL,147,3203,2655.72,1.070328947368421
21424,WOODLAND STORAGE BOX LARGE,142,955,2861.64,4.811619718309859
21425,SKULLS STORAGE BOX LARGE,95,505,1274.93,4.1706315789473685
21426,WOODLAND STORAGE BOX SMALL,99,1029,1649.17,3.2083333333333335
21427,SKULLS STORAGE BOX SMALL,119,517,1023.02,3.0166141732283465
21428,SET3 BOOK BOX GREEN GINGHAM FLOWER,465,2935,11975.93,5.040754716981132
21429,RED GINGHAM ROSE JEWELLERY BOX,997,6568,11743.529999999999,2.1106609195402295
21430,SET/3 RED GINGHAM ROSE STORAGE BOX,814,4741,18514.2,4.747923169267707
21431,GREEN GINGHAM FLOWER JEWELLERY BOX,278,1483,2511.3599999999997,1.9398924731182796
21432,SET OF 3 CASES WOODLAND DESIGN,237,942,5435.91,6.09857740585774
21437,24 HANGING EASTER EGGS FLORAL TUB,109,677,2350.92,3.9735964912280703
21438,TUB 24 HANGING EASTER EGGS SPOTTY,36,373,1229.8200000000002,3.8329729729729727
21439,BASKET OF TOADSTOOLS,240,2288,2880.09,1.5622489959839359
21440,12 MINI TOADSTOOL PEGS,95,472,597.56,1.32875
21441,BLUE BIRDHOUSE DECORATION,133,941,667.3199999999999,1.1029411764705883
21442,GREEN BIRDHOUSE DECORATION,136,974,706.63,1.1254744525547444
21443,OLIVE CHALET BIRDFEEDER,26,257,727.9300000000001,4.631923076923077
21444,BLUE CHALET BIRDFEEDER,36,291,902.0300000000001,5.461944444444445
21445,12 PINK ROSE PEG PLACE SETTINGS,146,1535,1907.23,1.5129054054054054
21446,12 RED ROSE PEG PLACE SETTINGS,232,1266,1683.61,1.4945528455284551
21447,12 IVORY ROSE PEG PLACE SETTINGS,336,2796,3868.89,1.6232369942196532
21448,12 DAISY PEGS IN WOOD BOX,211,959,1648.4799999999998,1.8827522935779817
21450,DISTRESSED CANDLE STICK WHITE,3,13,77.35,5.95
21452,TOADSTOOL MONEY BOX,408,1944,5960.76,3.4621064814814817
21454,PAINTED PINK RABBIT,194,937,807.5999999999999,0.9064974619289339
21455,PAINTED YELLOW WOODEN DAISY,167,901,797.27,0.9351461988304094
21456,2 PICTURE BOOK EGGS EASTER CHICKS,65,738,776.05,1.447878787878788
21457,2 PICTURE BOOK EGGS EASTER DUCKS,65,685,716.0,1.5447692307692307
21458,2 PICTURE BOOK EGGS EASTER BUNNY,88,768,849.24,1.635
21459,YELLOW EASTER EGG HUNT START POST,44,263,520.55,2.300909090909091
21460,GREEN EASTER EGG HUNT START POST,27,113,249.64999999999998,2.3655555555555554
21461,BLUE EASTER EGG HUNT START POST,23,82,171.04,2.336086956521739
21462,"NURSERY A,B,C PAINTED LETTERS",171,419,2465.91,6.875942857142857
21463,MIRRORED DISCO BALL,302,1370,7593.76,6.55343137254902
21464,DISCO BALL ROTATOR BATTERY OPERATED,217,559,2371.75,4.245475113122172
21465,PINK FLOWER CROCHET FOOD COVER,187,795,2883.1400000000003,4.027619047619048
21466,RED FLOWER CROCHET FOOD COVER,275,937,3517.29,3.9814285714285713
21467,CHERRY CROCHET FOOD COVER,254,1029,3278.75,4.029615384615385
21468,BUTTERFLY CROCHET FOOD COVER,142,671,2368.89,4.015170068027211
21469,POLKA DOT RAFFIA FOOD COVER,210,1173,3512.01,3.9689671361502348
21470,FLOWER VINE RAFFIA FOOD COVER,319,1118,4258.67,4.21419452887538
21471,STRAWBERRY RAFFIA FOOD COVER,319,1414,5125.63,3.91916149068323
21472,LADYBIRD + BEE RAFFIA FOOD COVER,285,1065,4111.57,4.386151202749141
21473,SWEETHEART CREAM STEEL TABLE RECT,90,157,3212.16,20.839
21474,SWEETHEART CREAM STEEL FOLDIN BENCH,94,210,4189.5,19.95
21475,SWEETHEART CREAM STEEL FOLDIN CHAIR,1,1,14.95,14.95
21476,STEEL SWEETHEART ROUND TABLE CREAM,85,142,2219.5099999999998,16.436
21477,STRING OF 20 ROSE LIGHTS,45,273,3248.94,14.872666666666666
21478,SILVER SKULL HOT WATER BOTTLE,92,204,854.23,4.4205376344086025
21479,WHITE SKULL HOT WATER BOTTLE,930,6857,34560.68,4.688001949317739
21480,PINK STRIPE HOT WATER BOTTLE,57,285,899.5200000000001,3.835
21481,FAWN BLUE HOT WATER BOTTLE,1050,8537,26925.18,3.764727921498662
21482,MUSHROOM BLUE HOT WATER BOTTLE,184,740,2296.76,3.6295135135135137
21484,CHICK GREY HOT WATER BOTTLE,864,4764,18949.600000000002,4.5689094874591065
21485,RETROSPOT HEART HOT WATER BOTTLE,1385,7872,38585.35,5.478931245745406
21486,PINK HEART DOTS HOT WATER BOTTLE,294,1152,3786.5499999999997,3.908701298701298
21488,RED WHITE SCARF  HOT WATER BOTTLE,359,2443,10266.230000000001,4.667665782493369
21489,BLUE WHITE SCARF HOT WATER BOTTLE,14,28,157.60000000000002,5.964285714285714
21490,SET OF THREE 50'S GIFT WRAPS,55,637,1210.6,2.594642857142857
21491,SET OF THREE VINTAGE GIFT WRAPS,248,2878,5367.009999999999,2.124
21493,VINTAGE DESIGN GIFT TAGS,29,272,252.45,1.0483333333333333
21494,ROTATING LEAVES T-LIGHT HOLDER,501,3926,6663.08,2.633181818181818
21495,SKULLS AND CROSSBONES WRAP,376,12515,5140.3,0.41814814814814816
21496,WOODLAND CREATURES  WRAP,1,25,10.5,0.42
21497,FANCY FONTS BIRTHDAY WRAP,485,17575,7009.5,0.41770491803278686
21498,RED RETROSPOT WRAP,802,27126,10999.92,0.4173086419753086
21499,BLUE POLKADOT WRAP,460,15402,6186.84,0.4161802575107296
21500,PINK POLKADOT WRAP,492,16125,6510.5,0.4162575452716298
21503,TOYBOX  WRAP,64,1801,740.42,0.41875
21504,SKULLS GREETING CARD,329,4973,2030.22,0.46628742514970056
21506,"FANCY FONT BIRTHDAY CARD,",665,11194,4662.0199999999995,0.48875912408759126
21507,"ELEPHANT, BIRTHDAY CARD,",584,8310,3490.36,0.5045840407470289
21508,VINTAGE KID DOLLY CARD,541,6778,2834.08,0.5174954296160877
21509,COWBOYS AND INDIANS BIRTHDAY CARD,628,8805,3631.99,0.5025354330708661
21511,VINTAGE COLLAGE  GREETING  CARD,2,40,16.8,0.42
21518,BANK ACCOUNT  GREETING  CARD,109,1119,474.32,0.504090909090909
21519,GIN & TONIC DIET GREETING CARD,553,7458,3195.35,0.5020499108734402
21520,BOOZE & WOMEN GREETING CARD,108,995,428.45,0.5313274336283186
21523,DOORMAT FANCY FONT HOME SWEET HOME,1122,7046,47194.58,8.917053182214474
21524,DOORMAT SPOTTY HOME SWEET HOME,1150,5329,36565.22,8.509889173060529
21525,BEWARE OF THE CAT DOORMAT,2,2,13.5,6.75
21527,RED RETROSPOT TRADITIONAL TEAPOT,831,3414,25493.02,8.867202797202797
21528,DAIRY MAID TRADITIONAL TEAPOT,257,904,5721.52,7.668735632183908
21529,RETRO SPOT CERAMIC TOASTRACK,152,503,1790.44,4.022302631578947
21530,DAIRY MAID TOASTRACK,162,963,1379.2800000000002,2.329112426035503
21531,RED RETROSPOT SUGAR JAM BOWL,776,4134,10318.869999999999,3.0319041614123576
21532,DAIRY MAID SUGAR JAM BOWL,90,1387,1419.71,2.386413043478261
21533,RETRO SPOT LARGE MILK JUG,954,3385,16814.370000000003,5.447029804727647
21534,DAIRY MAID LARGE MILK JUG,342,942,4793.66,5.396224783861672
21535,RED RETROSPOT SMALL MILK JUG,1111,6778,16842.1,2.8644708994708994
21536,DAIRY MAID  SMALL  MILK JUG,61,221,474.74000000000007,2.2688888888888887
21537,RED RETROSPOT PUDDING BOWL,256,1049,4526.59,4.726417910447761
21538,DAIRY MAID  PUDDING BOWL,51,1313,1943.26,3.9979245283018865
21539,RED RETROSPOT BUTTER DISH,709,2767,13769.44,5.771953551912568
21540,DAIRY MAID CERAMIC BUTTER DISH,87,1323,2394.95,4.735977011494254
21541,DINOSAURS WATER TRANSFER TATTOOS,201,1907,1636.24,1.0449261083743842
21542,WOODLAND WATER TRANSFER TATTOOS,190,1877,1600.75,1.016020942408377
21543,BUTTERFLY WATER TRANSFER TATTOOS,24,284,215.0,1.1958333333333333
21544,SKULLS  WATER TRANSFER TATTOOS,503,6128,5117.139999999999,1.0512092130518234
21545,CERAMIC BIRDHOUSE BUTTERFLY SMALL,82,697,1640.1200000000001,3.555542168674699
21547,CERAMIC BIRDHOUSE CRESTED TIT SMALL,119,728,1877.9800000000002,3.595725806451613
21548,CERAMIC BIRDHOUSE FINCH BLUE ROOF,107,682,1776.1200000000001,3.7270370370370376
21549,CERAMIC BIRDHOUSE RED ROOF SMALL,51,547,1270.39,3.3067307692307697
21550,CERAMIC BIRDHOUSE CRESTED TIT LARGE,64,295,1565.51,6.715223880597015
21551,CERAMIC BIRDHOUSE BUTTERFLY LARGE,22,169,824.95,6.8
21552,CERAMIC BIRDHOUSE BLACK ROSE  LARGE,35,165,837.6,6.259722222222222
21553,CERAMIC BIRDHOUSE FINCH BLUE  LARGE,39,90,581.27,7.881282051282051
21554,CERAMIC BIRDHOUSE RED ROOF LARGE,22,167,767.75,6.479545454545455
21555,CERAMIC STRAWBERRY TRINKET TRAY,134,431,1146.6699999999998,3.053703703703704
21556,CERAMIC STRAWBERRY MONEY BOX,293,1626,4305.45,3.2568316831683166
21557,SET OF 6 FUNKY BEAKERS,302,953,3251.04,4.16891373801917
21558,SKULL LUNCH BOX WITH CUTLERY,768,4244,10945.17,3.275421383647799
21559,STRAWBERRY LUNCH BOX WITH CUTLERY,1221,8313,20612.52,3.0598655063291136
21560,TOADSTOOL  LUNCHBOX WITH CUTLERY,4,4,15.44,3.86
21561,DINOSAUR LUNCH BOX WITH CUTLERY,522,2977,7326.82,2.901799242424242
21562,HAWAIIAN GRASS SKIRT,73,678,970.2800000000001,1.8506756756756755
21563,RED HEART SHAPE LOVE BUCKET,362,2800,6925.89,3.3251752021563346
21564,PINK  HEART SHAPE LOVE BUCKET,294,1967,4577.620000000001,3.234566666666667
21576,LETS GO SHOPPING COTTON TOTE BAG,205,742,1711.5,2.523
21577,SAVE THE PLANET COTTON TOTE BAG,464,2592,5825.62,2.7358872651356996
21578,WOODLAND DESIGN  COTTON TOTE BAG,380,2215,5088.17,2.6100769230769227
21579,LOLITA  DESIGN  COTTON TOTE BAG,136,1038,1583.9099999999999,2.5964539007092196
21580,RABBIT  DESIGN  COTTON TOTE BAG,172,550,1347.6299999999999,2.8452571428571427
21581,SKULLS  DESIGN  COTTON TOTE BAG,203,1188,1935.17,2.6667289719626166
21582,KINGS CHOICE SMALL TUBE MATCHES,16,117,193.04999999999998,1.65
21584,RETROSPOT SMALL TUBE MATCHES,352,3840,6187.2,1.6478891820580475
21585,SWALLOW SMALL TUBE MATCHES,1,1,1.65,1.65
21586,KINGS CHOICE GIANT TUBE MATCHES,238,2657,6185.85,2.514285714285714
21587,COSY HOUR GIANT TUBE MATCHES,260,2201,5482.95,2.5405923344947734
21588,RETROSPOT GIANT TUBE MATCHES,284,3390,7848.0,2.5243288590604025
21589,SWALLOW GIANT TUBE MATCHES,88,1119,2583.4500000000003,2.5044943820224717
21590,KINGS CHOICE CIGAR BOX MATCHES,286,3448,4141.28,1.246135593220339
21591,COSY HOUR CIGAR BOX MATCHES,365,4084,6135.58,1.2619796954314721
21592,RETROSPOT CIGAR BOX MATCHES,476,5971,6671.21,1.1947105788423154
21593,SWALLOW CIGAR BOX MATCHES,94,1391,1629.31,1.2480208333333334
21594,Dr. Jam's Arouzer Stress Ball,5,6,25.27,4.211666666666667
21595,Dad's Cab Electronic Meter,9,11,93.89,8.535454545454545
21596,Hypochondriac Pill Stress Ball,9,10,42.64,4.26
21609,SET 12 LAVENDER  BOTANICAL T-LIGHTS,218,1513,4230.55,3.0442222222222224
21610,SET 12 PEAR BOTANICAL T-LIGHTS,97,542,1543.67,3.043571428571429
21611,SET OF 12 LILY BOTANICAL T-LIGHTS,148,750,2182.19,3.1227814569536427
21612,SET 12 WILDFLOWER BOTANICAL T-LIGHT,113,698,2025.7700000000002,3.2462280701754387
21613,S/12 VANILLA  BOTANICAL T-LIGHTS,145,636,1873.2500000000002,3.0775838926174495
21614,SET OF 12 ROSE BOTANICAL T-LIGHTS,194,1627,4538.17,3.0643147208121833
21615,4 LAVENDER BOTANICAL DINNER CANDLES,169,1174,2331.17,2.3584393063583815
21616,4 PEAR BOTANICAL DINNER CANDLES,191,1163,2499.83,2.4853266331658292
21617,4 LILY  BOTANICAL DINNER CANDLES,169,850,2195.01,2.959257142857143
21618,4 WILDFLOWER BOTANICAL CANDLES,139,702,1842.61,2.950067567567568
21619,4 VANILLA BOTANICAL CANDLES,212,1132,2076.64,2.427196261682243
21620,SET OF 4 ROSE BOTANICAL CANDLES,222,1088,2210.48,2.537105263157895
21621,VINTAGE UNION JACK BUNTING,1292,6931,60549.54,9.300507960576194
21622,VINTAGE UNION JACK CUSHION COVER,626,3728,20080.49,5.8304238618524336
21623,VINTAGE UNION JACK MEMOBOARD,530,7196,52082.93,10.232112932604736
21624,VINTAGE UNION JACK DOORSTOP,403,1783,10712.55,6.607250608272506
21625,VINTAGE UNION JACK APRON,334,1007,7234.87,8.227959770114943
21626,VINTAGE UNION JACK PENNANT,204,1511,3053.1,2.3533809523809524
21627,ELEPHANT CARNIVAL POUFFE,115,200,3870.7799999999997,22.68966386554622
21628,TRIANGULAR POUFFE VINTAGE,87,166,3215.18,22.562727272727273
21629,SQUARE FLOOR CUSHION VINTAGE RED,105,179,1977.27,11.898130841121494
21630,FLOOR CUSHION ELEPHANT CARNIVAL,95,167,2037.6,13.737373737373737
21631,HIPPY CHIC DECORATIVE PARASOL,54,221,1571.75,10.77962962962963
21632,VINTAGE PINK DECORATIVE PARASOL,53,133,1101.71,11.435555555555554
21633,SUNFLOWER DECORATIVE PARASOL,72,175,1663.11,13.04888888888889
21634,ASSORTED MINI MADRAS NOTEBOOK,69,1773,1512.76,1.396056338028169
21635,MADRAS NOTEBOOK LARGE,42,403,873.99,3.310888888888889
21636,MADRAS NOTEBOOK MEDIUM,98,1014,985.74,1.4927722772277225
21637,ASSORTED SANSKRIT MINI NOTEBOOK,93,1358,1741.72,1.8408602150537634
21638,ASSORTED TUTTI FRUTTI NOTEBOOK,142,1039,2275.61,2.482466666666667
21639,ASSORTED TUTTI FRUTTI KEYRING,15,259,228.64999999999998,0.9633333333333333
21640,ASSORTED TUTTI FRUTTI  FOB NOTEBOOK,205,2228,2053.5699999999997,1.1012442396313364
21641,ASSORTED TUTTI FRUTTI KEYRING BALL,111,1674,959.5899999999999,1.2444827586206895
21642,ASSORTED TUTTI FRUTTI PEN,251,4420,2584.37,0.8863396226415095
21643,ASSORTED TUTTI FRUTTI MIRROR,204,1536,2161.81,1.8728571428571426
21644,ASSORTED TUTTI FRUTTI HEART BOX,137,1089,1463.97,1.4370833333333333
21645,ASSORTED TUTTI FRUTTI ROUND BOX,133,969,1642.6499999999999,1.844148148148148
21647,ASSORTED TUTTI FRUTTI LARGE PURSE,144,850,1903.4800000000002,2.5597333333333334
21648,ASSORTED TUTTI FRUTTI SMALL PURSE,231,2987,4044.21,1.8517427385892116
21649,ASSORTED TUTTI FRUTTI PHOTO FRAME,29,421,1162.89,3.3486206896551725
21650,ASSORTED TUTTI FRUTTI BRACELET,197,3212,1171.02,0.673066037735849
21651,HANGING GLASS ETCHED TEALIGHT,124,1399,2266.4799999999996,1.8502307692307693
21652,GLASS ETCHED T-LIGHT HOLDER MEDIUM,78,896,1747.9399999999998,2.098860759493671
21653,GLASS ETCHED T-LIGHT HOLDER LARGE,111,1246,2565.67,2.266086956521739
21654,RIDGED GLASS FINGER BOWL,82,1189,828.91,1.2816666666666667
21655,HANGING RIDGE GLASS T-LIGHT HOLDER,89,1396,2277.5,1.9567415730337079
21656,RIDGED GLASS POSY VASE,140,989,1627.98,2.069154929577465
21657,MILK BOTTLE WITH GLASS STOPPER,118,270,2065.21,8.509268292682927
21658,GLASS  BEURRE DISH,519,2257,9434.45,5.3474814814814815
21659,GLASS CAKE STAND,66,120,1891.7,17.163636363636364
21661,VINTAGE GLASS TEA CADDY,98,239,1511.3100000000002,7.073838383838384
21662,VINTAGE GLASS COFFEE CADDY,106,273,1776.6100000000001,7.488545454545455
21663,VINTAGE GLASS SUGAR CADDY,32,76,488.16,7.245625
21664,RIDGED GLASS STORAGE JAR CREAM LID,67,267,1064.82,4.225972222222222
21665,TRIANGULAR RIDGED GLASS POSY HOLDER,75,879,638.8000000000001,1.088974358974359
21666,RIDGED GLASS T-LIGHT HOLDER,85,1761,1106.8100000000002,0.8288505747126437
21667,GLASS CAKE COVER AND PLATE,163,354,6126.25,18.958098159509202
21668,RED STRIPE CERAMIC DRAWER KNOB,825,10391,13958.039999999999,1.6430274135876044
21669,BLUE STRIPE CERAMIC DRAWER KNOB,805,10669,13971.07,1.5681927710843373
21670,BLUE SPOT CERAMIC DRAWER KNOB,767,8918,12183.789999999999,1.6403324808184143
21671,RED SPOT CERAMIC DRAWER KNOB,727,9552,12426.88,1.6141407307171853
21672,WHITE SPOT RED CERAMIC DRAWER KNOB,815,11172,14479.91,1.5954316546762588
21673,WHITE SPOT BLUE CERAMIC DRAWER KNOB,763,10221,13497.51,1.6333546734955184
21674,RIDGED GLASS PENDANT LAMPSHADE,9,43,680.8499999999999,16.505555555555553
21675,BUTTERFLIES STICKERS,268,1817,1610.6399999999999,1.0546739130434781
21676,FLOWERS  STICKERS,159,1212,909.87,1.0108024691358024
21677,HEARTS  STICKERS,279,2176,1909.2099999999998,1.002326388888889
21678,PAISLEY PATTERN  STICKERS,80,580,430.60999999999996,0.9795180722891565
21679,SKULLS  STICKERS,370,4931,4088.7499999999995,1.0584880636604774
21680,WOODLAND  STICKERS,268,2927,2543.95,1.1394927536231885
21681,GIANT MEDINA STAMPED METAL BOWL,79,233,2234.81,10.156375
21682,LARGE MEDINA STAMPED METAL BOWL,152,579,2866.59,5.274129032258065
21683,MEDIUM MEDINA STAMPED METAL BOWL,152,962,2837.13,3.318343949044586
21684,SMALL MEDINA STAMPED METAL BOWL,104,1735,1395.74,1.1309174311926604
21685,MEDINA STAMPED METAL TRAY,2,3,44.849999999999994,14.95
21686,MEDINA STAMPED METAL STOOL,33,66,2500.09,39.31441176470588
21687,SILVER PLATE CANDLE BOWL LARGE,101,477,1871.23,4.647358490566038
21688,SILVER PLATE CANDLE BOWL SMALL,142,955,2975.4600000000005,3.5969127516778525
21689,SILVER VANILLA  FLOWER CANDLE POT,60,343,1271.87,4.098888888888889
21690,SILVER  CANDLEPOT JARDIN,82,276,1058.34,3.948279569892473
21691,SILVER VANILLA FLOWER CANDLE POT,72,249,960.99,3.9889873417721518
21692,SILVER LATTICE VANILLA CANDLE POT,111,510,1936.62,4.015691056910569
21693,SMALL HAMMERED SILVER CANDLEPOT,120,905,2757.8,3.388492063492064
21694,SMALL REGAL  SILVER CANDLEPOT,70,580,1663.96,3.2620547945205485
21695,SMALL SILVER FLOWER CANDLE POT,102,642,1987.5800000000002,3.614519230769231
21696,SMALL SILVER TRELLIS CANDLEPOT,107,768,2310.15,3.2701801801801804
21697,SET 5 MINI DOUGHNUT FRIDGE MAGNET,7,372,295.08000000000004,1.4914285714285713
21698,MOCK LOBSTER FRIDGE MAGNET,112,536,408.96999999999997,1.2534745762711863
21699,SET 5 MINI CHOCOLATE FRIDGE MAGNETS,3,108,82.44,1.2266666666666666
21700,BIG DOUGHNUT FRIDGE MAGNETS,525,6421,7177.8099999999995,3.2864088397790057
21702,SET 5 MINI GATEAUX  FRIDGE MAGNETS,8,2636,918.6800000000001,1.3425
21703,BAG 125g SWIRLY MARBLES,561,14795,5741.47,0.49870085470085473
21704,BAG 250g SWIRLY MARBLES,568,17299,13343.349999999999,0.9845144804088586
21705,BAG 500g SWIRLY MARBLES,225,2563,3210.66,1.8314468085106383
21706,FOLDING UMBRELLA RED/WHITE POLKADOT,254,1355,5086.96,5.247992277992278
21707,FOLDING UMBRELLA BLACKBLUE POLKADOT,172,1005,4184.95,4.954418604651163
21708,FOLDING UMBRELLA CREAM POLKADOT,129,612,2341.43,4.724274809160305
21709,FOLDING UMBRELLA CHOCOLATE POLKADOT,117,698,2886.62,5.145378151260505
21710,FOLDING UMBRELLA PINKWHITE POLKADOT,110,730,2265.25,5.025565217391305
21711,FOLDING UMBRELLA WHITE/RED POLKADOT,71,384,1570.78,5.293013698630137
21713,CITRONELLA CANDLE FLOWERPOT,391,2747,5179.06,2.3870927318295743
21714,CITRONELLA CANDLE GARDEN POT,522,4286,6188.66,1.7589204545454544
21715,GIRLS VINTAGE TIN SEASIDE BUCKET,487,3564,9017.8,3.2583603238866394
21716,BOYS VINTAGE TIN SEASIDE BUCKET,496,3734,9490.94,3.3474059405940593
21717,EASTER TIN BUCKET,176,1555,4044.69,2.939322033898305
21718,RED METAL BEACH SPADE,467,4044,5270.32,1.6704439746300213
21719,LOVELY BONBON STICKER SHEET,141,938,841.9599999999999,1.0715894039735099
21720,CAKE SHOP  STICKER SHEET,112,1081,940.8599999999999,1.0264035087719297
21721,CANDY SHOP  STICKER SHEET,144,1139,1041.87,1.1596129032258062
21722,SWEET PUDDING STICKER SHEET,79,363,343.78,1.1655952380952381
21723,ALPHABET HEARTS STICKER SHEET,135,895,796.2099999999999,1.033450704225352
21724,PANDA AND BUNNIES STICKER SHEET,178,1038,926.4699999999999,1.0203208556149732
21725,SWEETIES  STICKERS,173,1157,1062.4199999999998,1.1605524861878453
21726,MULTI HEARTS  STICKERS,155,1105,956.41,0.9787804878048779
21728,METAL MEDINA LANTERN,40,298,2773.11,13.710249999999998
21729,SMALL MARAKESH METAL  LANTERN,30,124,422.9,4.051290322580646
21730,GLASS STAR FROSTED T-LIGHT HOLDER,293,1269,6228.89,5.3860429447852765
21731,RED TOADSTOOL LED NIGHT LIGHT,1537,29696,49508.34,2.2361727616645646
21732,RED HANGING METAL STAR TLIGHT HLDR,58,925,3214.57,3.8156666666666665
21733,RED HANGING HEART T-LIGHT HOLDER,1760,17960,51441.92,3.098570652173913
21734,SMALL MARAKESH LANTERN ON STICK,29,97,529.49,5.727666666666667
21735,TWO DOOR CURIO CABINET,262,887,11503.15,15.281119402985073
21736,GOLD SCROLL GLASS T-LIGHT HOLDER,27,193,393.69000000000005,2.343571428571429
21737,SET 3 WICKER LOG BASKETS,164,398,7362.66,19.868048780487804
21738,COSY SLIPPER SHOES SMALL  RED,131,442,1390.5100000000002,3.5237671232876715
21739,COSY SLIPPER SHOES SMALL GREEN,177,509,1496.1000000000001,3.050274725274725
21740,COSY SLIPPER SHOES LARGE RED,66,201,698.0100000000001,3.687910447761194
21741,COSY SLIPPER SHOES LARGE GREEN,190,733,2394.07,3.8379695431472083
21742,LARGE ROUND WICKER PLATTER,193,439,2665.9500000000003,6.086142131979695
21743,STAR PORTABLE TABLE LIGHT,182,1443,4197.77,3.5686934673366837
21744,SNOWFLAKE PORTABLE TABLE LIGHT,217,923,2782.7500000000005,3.197991266375546
21745,GAOLERS KEYS DECORATIVE GARDEN,486,2732,9321.32,3.9601207243460768
21746,SMALL RED RETROSPOT WINDMILL,488,5969,7477.12,1.513006012024048
21747,SMALL SKULL WINDMILL,153,2049,2452.35,1.4423376623376625
21749,LARGE RED RETROSPOT WINDMILL,286,5661,10997.820000000002,2.5550347222222225
21750,LARGE SKULL WINDMILL,62,312,676.48,2.456825396825397
21752,GLASS CAKE STAND MIRRORED BASE,37,77,1244.81,17.717027027027026
21754,HOME BUILDING BLOCK WORD,2066,7796,47774.740000000005,6.59649765258216
21755,LOVE BUILDING BLOCK WORD,1696,5726,35356.39,6.688029867892016
21756,BATH BUILDING BLOCK WORD,581,1655,10222.16,6.579883333333334
21757,LIGHTHOUSE PRINTED METAL SIGN,42,80,454.3,6.3058139534883715
21758,VINTAGE SHELLS PRINT,79,138,1107.92,9.149024390243902
21759,METAL WALL SHELF UNIT WITH HOOKS,13,30,1274.47,54.18692307692308
21760,FRENCH STYLE WALL DRESSER,12,15,1740.0,116.92307692307692
21761,WOOD AND GLASS MEDICINE CABINET,24,67,1874.65,29.603846153846153
21763,VINTAGE WOODEN BAR STOOL,17,43,1157.8999999999999,27.95294117647059
21764,VINTAGE WOODEN PLATE RACK,11,17,659.1500000000001,39.49545454545455
21765,HANGING METAL BIRD BATH,143,371,3076.39,9.029794520547947
21767,FRENCH STYLE WIRE DOOR CABINET,1,1,29.95,29.95
21768,WALL MOUNTED VINTAGE ORGANISER,163,497,6756.09,18.043353658536585
21769,VINTAGE POST OFFICE CABINET,48,134,8562.52,77.176
21770,OPEN CLOSED METAL SIGN,651,2991,14807.300000000001,5.4356748466257665
21772,VINTAGE METAL CAKE STAND CREAM,1,1,12.75,12.75
21773,DECORATIVE ROSE BATHROOM BOTTLE,308,1663,1936.99,1.925520504731861
21774,DECORATIVE CATS BATHROOM BOTTLE,368,1744,2196.2599999999998,2.016089238845144
21775,DECORATIVE FLORE BATHROOM BOTTLE,277,882,1346.37,2.018339222614841
21777,RECIPE BOX WITH METAL HEART,367,1138,9170.91,9.079117647058824
21779,MA CAMPAGNE MINI WOODEN CHEST,22,301,1097.8000000000002,4.612272727272727
21780,MA CAMPAGNE 4 DRAWER WALL SHELF,32,203,1745.85,10.9125
21781,MA CAMPAGNE CUTLERY BOX,363,661,10215.42,16.528198924731182
21784,SHOE SHINE BOX,178,298,3617.8799999999997,12.59929347826087
21785,RAIN PONCHO,100,2008,1517.99,0.9946153846153846
21786,POLKADOT RAIN HAT,450,7785,3186.87,0.6253765690376569
21787,RAIN PONCHO RETROSPOT,469,15184,11986.36,1.042680412371134
21788,KIDS RAIN MAC BLUE,206,3399,2745.49,0.9101401869158877
21789,KIDS RAIN MAC PINK,218,2947,2461.64,0.9401339285714286
21790,VINTAGE SNAP CARDS,1888,27904,24063.3,1.0097694672131148
21791,VINTAGE HEADS AND TAILS CARD GAME,1313,18532,23926.98,1.4930263157894736
21792,CLASSIC FRENCH STYLE BASKET GREEN,141,495,2531.4500000000003,6.021830985915493
21793,CLASSIC FRENCH STYLE BASKET BROWN,102,353,1627.3600000000001,5.173203883495146
21794,CLASSIC FRENCH STYLE BASKET NATURAL,178,716,3585.98,6.090220994475137
21795,SET OF 3 BLUE STRIPE BASKET,80,441,3734.9400000000005,13.154124999999999
21796,SET OF 3 RED STRIPE BASKETS,67,324,2782.19,12.662089552238806
21801,CHRISTMAS TREE DECORATION WITH BELL,258,3753,1618.71,0.45592727272727274
21802,CHRISTMAS TREE HEART DECORATION,323,4731,2067.58,0.48638483965014573
21803,CHRISTMAS TREE STAR DECORATION,322,4780,2074.56,0.4680058651026393
21804,WHITE CHRISTMAS GARLAND STARS TREES,137,612,2308.85,3.890939597315436
21805,WHITE CHRISTMAS TREE DECORATION,103,2221,957.63,0.5065714285714286
21806,WHITE CHRISTMAS HEART DECORATION,128,2707,1179.4299999999998,0.4993939393939394
21807,WHITE CHRISTMAS STAR DECORATION,172,3395,1495.57,0.5098404255319149
21808,"CHRISTMAS GARLAND STARS,TREES",144,1014,2764.28,3.6035810810810815
21809,CHRISTMAS HANGING TREE WITH BELL,207,3045,2479.25,1.2669090909090908
21810,CHRISTMAS HANGING STAR WITH BELL,344,7009,4455.8099999999995,0.9984986595174262
21811,HANGING HEART WITH BELL,382,6446,4723.54,1.173695652173913
21812,GARLAND WITH HEARTS AND BELLS,205,833,4076.9700000000003,5.674507042253522
